date;price
2018-09-04;7358.9
2018-09-05;6710.5
2018-09-06;6515.6
2018-09-07;6404.1
2018-09-08;6185
2018-09-09;6239.9
2018-09-10;6308
2018-09-11;6290.8
2018-09-12;6332
2018-09-13;6475.6
2018-09-14;6485
2018-09-15;6513.6
2018-09-16;6498.5
2018-09-17;6254.2
2018-09-18;6342.8
2018-09-19;6390.9
2018-09-20;6500.5
2018-09-21;6762.7
2018-09-22;6723
2018-09-23;6710
2018-09-24;6585
2018-09-25;6434.7
2018-09-26;6462.4
2018-09-27;6692.5
2018-09-28;6635.1
2018-09-29;6604.6
2018-09-30;6618.1
2018-10-01;6601.9
2018-10-02;6533.3
2018-10-03;6503.2
2018-10-04;6580.1
2018-10-05;6644.7
2018-10-06;6592
2018-10-07;6601
2018-10-08;6673.2
2018-10-09;6663
2018-10-10;6630.2
2018-10-11;6252
2018-10-12;6293.2
2018-10-13;6326.5
2018-10-14;6335.2
2018-10-15;6742
2018-10-16;6754.1
2018-10-17;6737.1
2018-10-18;6613
2018-10-19;6527.3
2018-10-20;6586.7
2018-10-21;6591.6
2018-10-22;6567.2
2018-10-23;6550
2018-10-24;6554.1
2018-10-25;6528.1
2018-10-26;6531.5
2018-10-27;6500.2
2018-10-28;6490.1
2018-10-29;6344
2018-10-30;6330.1
2018-10-31;6368.4
2018-11-01;6399.7
2018-11-02;6426.9
2018-11-03;6387.9
2018-11-04;6485.2
2018-11-05;6470.1
2018-11-06;6515.2
2018-11-07;6572.7
2018-11-08;6479.6
2018-11-09;6420.2
2018-11-10;6431.1
2018-11-11;6450
2018-11-12;6446.9
2018-11-13;6464.4
2018-11-14;5884.6
2018-11-15;5753.4
2018-11-16;5660.5
2018-11-17;5626.7
2018-11-18;5659.4
2018-11-19;4938.1
2018-11-20;4600.1
2018-11-21;4666.6
2018-11-22;4392.4
2018-11-23;4422.7
2018-11-24;3929.8
2018-11-25;4087.8
2018-11-26;3858
2018-11-27;3884.4
2018-11-28;4306.3
2018-11-29;4312.9
2018-11-30;4038.3
2018-12-01;4243
2018-12-02;4159.7
2018-12-03;3901.2
2018-12-04;3981.9
2018-12-05;3765.3
2018-12-06;3531.3
2018-12-07;3460
2018-12-08;3506
2018-12-09;3639.6
2018-12-10;3524.9
2018-12-11;3435.3
2018-12-12;3535.6
2018-12-13;3354.4
2018-12-14;3282.8
2018-12-15;3285.1
2018-12-16;3299.9
2018-12-17;3625.1
2018-12-18;3780.1
2018-12-19;3810
2018-12-20;4214.5
2018-12-21;3976.1
2018-12-22;4135
2018-12-23;4075.7
2018-12-24;4145.2
2018-12-25;3909.7
2018-12-26;3929.8
2018-12-27;3714.7
2018-12-28;4036.7
2018-12-29;3887
2018-12-30;3978.3
2018-12-31;3830.5
2019-01-01;3963
2019-01-02;4048.5
2019-01-03;3923.2
2019-01-04;3954.9
2019-01-05;3911
2019-01-06;4171.5
2019-01-07;4113.9
2019-01-08;4100
2019-01-09;4083.2
2019-01-10;3712.8
2019-01-11;3716.1
2019-01-12;3702
2019-01-13;3591
2019-01-14;3749.3
2019-01-15;3656.5
2019-01-16;3671.2
2019-01-17;3723
2019-01-18;3675.7
2019-01-19;3760
2019-01-20;3586.1
2019-01-21;3579.4
2019-01-22;3639.1
